hive,hour_bucket_utc,tvd,tvd_zscore,queenless_candidate
hive_01,2026-03-11 15:00:00+00:00,0.0,-1.0261937004158284,False
hive_01,2026-03-11 16:00:00+00:00,0.5,0.42255034723004686,False
hive_01,2026-03-11 17:00:00+00:00,0.0,-0.9497161598676341,False
hive_01,2026-03-11 18:00:00+00:00,0.0,-0.8791185712778404,False
hive_01,2026-03-11 19:00:00+00:00,0.0,-0.8132557878833829,False
hive_01,2026-03-11 20:00:00+00:00,0.5,0.6965495754202505,False
hive_01,2026-03-11 21:00:00+00:00,0.5,0.6372389240525752,False
hive_01,2026-03-11 22:00:00+00:00,0.0,-0.8921344936736054,False
hive_01,2026-03-11 23:00:00+00:00,1.0,1.8994323197352685,False
hive_01,2026-03-12 00:00:00+00:00,0.0,-0.8791185712778404,False
hive_01,2026-03-12 01:00:00+00:00,0.5,0.4748580799338171,False
hive_01,2026-03-12 02:00:00+00:00,0.0,-0.8791185712778404,False
hive_01,2026-03-12 03:00:00+00:00,0.5,0.4748580799338171,False
hive_01,2026-03-12 04:00:00+00:00,0.0,-0.8791185712778404,False
hive_01,2026-03-12 05:00:00+00:00,0.5,0.4748580799338171,False
hive_01,2026-03-12 06:00:00+00:00,0.5,0.4748580799338171,False
hive_01,2026-03-12 07:00:00+00:00,0.0,-0.9497161598676341,False
hive_01,2026-03-12 08:00:00+00:00,0.0,-0.9497161598676341,False
hive_01,2026-03-12 09:00:00+00:00,1.0,1.8994323197352685,False
hive_01,2026-03-12 10:00:00+00:00,0.0,-0.8921344936736054,False
hive_01,2026-03-12 11:00:00+00:00,1.0,1.934060856811249,False
hive_01,2026-03-12 12:00:00+00:00,0.0,-0.8791185712778404,False
hive_01,2026-03-12 13:00:00+00:00,0.5,0.5274711427667043,False
hive_01,2026-03-12 14:00:00+00:00,0.5,0.5274711427667043,False
hive_01,2026-03-12 15:00:00+00:00,0.0,-0.8791185712778404,False
hive_01,2026-03-12 16:00:00+00:00,0.0,-0.8132557878833829,False
hive_01,2026-03-12 17:00:00+00:00,1.0,1.7511900715418265,False
hive_01,2026-03-12 18:00:00+00:00,0.5,0.3885761514929993,False
hive_01,2026-03-12 19:00:00+00:00,0.0,-0.9436849393401413,False
hive_01,2026-03-12 20:00:00+00:00,0.5,0.3885761514929993,False
hive_01,2026-03-12 21:00:00+00:00,0.0,-0.8755950357709131,False
hive_01,2026-03-12 22:00:00+00:00,0.0,-0.8755950357709131,False
hive_01,2026-03-12 23:00:00+00:00,0.0,-0.8132557878833829,False
hive_01,2026-03-13 00:00:00+00:00,0.0,-0.8132557878833829,False
hive_01,2026-03-13 01:00:00+00:00,0.0,-0.7512088592997025,False
hive_01,2026-03-13 02:00:00+00:00,0.0,-0.7512088592997025,False
hive_01,2026-03-13 03:00:00+00:00,0.0,-0.692218655243173,False
hive_01,2026-03-13 04:00:00+00:00,0.0,-0.692218655243173,False
hive_01,2026-03-13 05:00:00+00:00,0.5,0.692218655243173,False
hive_01,2026-03-13 06:00:00+00:00,0.5,0.692218655243173,False
hive_01,2026-03-13 07:00:00+00:00,0.0,-0.692218655243173,False
hive_01,2026-03-13 08:00:00+00:00,1.0,1.8267039687804463,False
hive_01,2026-03-13 09:00:00+00:00,0.0,-0.6922186552431732,False
hive_01,2026-03-13 10:00:00+00:00,0.0,-0.6922186552431732,False
hive_01,2026-03-13 11:00:00+00:00,0.5,0.8231949527693873,False
hive_01,2026-03-13 12:00:00+00:00,0.0,-0.6965495754202506,False
hive_01,2026-03-13 13:00:00+00:00,0.5,0.8231949527693873,False
hive_01,2026-03-13 14:00:00+00:00,1.0,2.0766559657295196,True
hive_01,2026-03-13 15:00:00+00:00,0.0,-0.6922186552431732,False
hive_01,2026-03-13 16:00:00+00:00,0.5,0.6356382655612869,False
hive_01,2026-03-13 17:00:00+00:00,0.0,-0.6965495754202506,False
hive_01,2026-03-13 18:00:00+00:00,0.5,0.8231949527693873,False
hive_01,2026-03-13 19:00:00+00:00,0.0,-0.6965495754202506,False
hive_01,2026-03-13 20:00:00+00:00,0.0,-0.6372389240525755,False
hive_01,2026-03-13 21:00:00+00:00,0.0,-0.6372389240525755,False
hive_01,2026-03-13 22:00:00+00:00,0.5,0.8231949527693873,False
hive_01,2026-03-13 23:00:00+00:00,0.5,0.7582875444051553,False
hive_01,2026-03-14 00:00:00+00:00,0.0,-0.7582875444051553,False
